Notes,County,Birth Weight,Death Rate
Total,"Volusia County, FL",,6.76
,"Unidentified Counties, FL",499 grams or less,934.78
,"Unidentified Counties, FL",500 - 999 grams,240.22
,"Unidentified Counties, FL",1000 - 1499 grams,56.45 (Unreliable)
,"Unidentified Counties, FL",1500 - 1999 grams,19.50 (Unreliable)
,"Unidentified Counties, FL",2000 - 2499 grams,11.87
,"Unidentified Counties, FL",2500 - 2999 grams,3.82
,"Unidentified Counties, FL",3000 - 3499 grams,2.23
,"Unidentified Counties, FL",3500 - 3999 grams,1.36 (Unreliable)
Total,"Unidentified Counties, FL",,6.1
Total,"Chatham County, GA",,7.8
,"Clayton County, GA",499 grams or less,846.15 (Unreliable)
Total,"Clayton County, GA",,11.03
,"Cobb County, GA",499 grams or less,935.48
,"Cobb County, GA",500 - 999 grams,164.18 (Unreliable)
Total,"Cobb County, GA",,6.16
,"DeKalb County, GA",499 grams or less,681.82 (Unreliable)
,"DeKalb County, GA",500 - 999 grams,187.50 (Unreliable)
,"DeKalb County, GA",2500 - 2999 grams,4.96 (Unreliable)
Total,"DeKalb County, GA",,6.24
,"Fulton County, GA",499 grams or less,730.77 (Unreliable)
,"Fulton County, GA",500 - 999 grams,256.64
Total,"Fulton County, GA",,6.4
,"Gwinnett County, GA",499 grams or less,931.03
,"Gwinnett County, GA",500 - 999 grams,324.32
Total,"Gwinnett County, GA",,7.83
,"Unidentified Counties, GA",499 grams or less,899.41
,"Unidentified Counties, GA",500 - 999 grams,255.94
,"Unidentified Counties, GA",1000 - 1499 grams,40.18
,"Unidentified Counties, GA",1500 - 1999 grams,27.33
,"Unidentified Counties, GA",2000 - 2499 grams,12.46
,"Unidentified Counties, GA",2500 - 2999 grams,4.11
,"Unidentified Counties, GA",3000 - 3499 grams,2.31
,"Unidentified Counties, GA",3500 - 3999 grams,1.84
Total,"Unidentified Counties, GA",,7.73
,"Honolulu County, HI",499 grams or less,944.44 (Unreliable)
,"Honolulu County, HI",500 - 999 grams,259.74
,"Honolulu County, HI",2500 - 2999 grams,4.48 (Unreliable)
Total,"Honolulu County, HI",,5.78
Total,"Unidentified Counties, HI",,6.7
