USPS,GEOID,NAME,INTPTLAT,INTPTLONG
WV,54003,Berkeley County,39.448054,-78.037776
WV,54005,Boone County,38.022814,-81.713539
WV,54007,Braxton County,38.699342,-80.731657
WV,54009,Brooke County,40.272645,-80.578691
WV,54011,Cabell County,38.419578,-82.243397
WV,54013,Calhoun County,38.844159,-81.115478
WV,54015,Clay County,38.459826,-81.081866
WV,54017,Doddridge County,39.26348,-80.701232
WV,54019,Fayette County,38.030933,-81.086051
WV,54021,Gilmer County,38.915867,-80.849413
WV,54023,Grant County,39.105988,-79.195064
WV,54025,Greenbrier County,37.924418,-80.45059
WV,54027,Hampshire County,39.312139,-78.611989
WV,54029,Hancock County,40.516958,-80.570164
WV,54031,Hardy County,39.011361,-78.841729
WV,54033,Harrison County,39.279182,-80.386498
WV,54035,Jackson County,38.834234,-81.677717
WV,54037,Jefferson County,39.307398,-77.86322
WV,54039,Kanawha County,38.328068,-81.523516
WV,54041,Lewis County,38.988877,-80.495477
WV,54043,Lincoln County,38.17177,-82.077623
WV,54045,Logan County,37.830591,-81.940853
WV,54047,McDowell County,37.382663,-81.658205
WV,54049,Marion County,39.505839,-80.243402
WV,54051,Marshall County,39.854426,-80.671794
WV,54053,Mason County,38.770914,-82.029007
WV,54055,Mercer County,37.403448,-81.106456
WV,54057,Mineral County,39.404781,-78.95669
WV,54059,Mingo County,37.721161,-82.158989
WV,54061,Monongalia County,39.633645,-80.059074
WV,54063,Monroe County,37.55034,-80.54789
WV,54065,Morgan County,39.555002,-78.257345
WV,54067,Nicholas County,38.291416,-80.797516
WV,54069,Ohio County,40.098932,-80.620728
WV,54071,Pendleton County,38.67445,-79.340617
WV,54073,Pleasants County,39.368133,-81.161172
WV,54075,Pocahontas County,38.332606,-80.010121
WV,54077,Preston County,39.46903,-79.668865
WV,54079,Putnam County,38.510513,-81.906109
WV,54081,Raleigh County,37.76247,-81.264671
WV,54083,Randolph County,38.781095,-79.867788
WV,54085,Ritchie County,39.177112,-81.066317
WV,54087,Roane County,38.743003,-81.354522
WV,54089,Summers County,37.656003,-80.856315
WV,54091,Taylor County,39.332478,-80.046554
WV,54093,Tucker County,39.111175,-79.559968
WV,54095,Tyler County,39.465634,-80.877219
WV,54097,Upshur County,38.902536,-80.231335
WV,54099,Wayne County,38.145541,-82.419681
WV,54101,Webster County,38.483459,-80.449052
WV,54103,Wetzel County,39.600602,-80.628157
WV,54105,Wirt County,39.020034,-81.382975
WV,54107,Wood County,39.211575,-81.516253
WV,54109,Wyoming County,37.603717,-81.548884
WI,55001,Adams County,43.973763,-89.767223
WI,55003,Ashland County,46.544424,-90.679691
WI,55005,Barron County,45.437192,-91.852892
WI,55007,Bayfield County,46.634199,-91.177282
WI,55009,Brown County,44.474021,-87.996151
WI,55011,Buffalo County,44.385642,-91.761229
WI,55013,Burnett County,45.866897,-92.37573
WI,55015,Calumet County,44.07841,-88.212132
WI,55017,Chippewa County,45.069092,-91.283505
WI,55019,Clark County,44.739346,-90.609953
WI,55021,Columbia County,43.471882,-89.330472
