County,Education,Death Rate
"San Bernardino County, CA",High school graduate or GED completed,6.66
"San Bernardino County, CA","Some college credit, but not a degree",6.17
"San Bernardino County, CA","Associate degree (AA, AS)",6.06
"San Bernardino County, CA","Bachelor's degree (BA, AB, BS)",3.76
"San Bernardino County, CA","Master's degree (MA, MS)",4.47
"San Bernardino County, CA",Unknown/Not on certificate,12.74
"San Diego County, CA",8th grade or less,3.73
"San Diego County, CA",9th through 12th grade with no diploma,4.69
"San Diego County, CA",High school graduate or GED completed,4.41
"San Diego County, CA","Some college credit, but not a degree",4.01
"San Diego County, CA","Associate degree (AA, AS)",4.05
"San Diego County, CA","Bachelor's degree (BA, AB, BS)",2.78
"San Diego County, CA","Master's degree (MA, MS)",2.46
"San Diego County, CA","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2.43
"San Diego County, CA",Unknown/Not on certificate,9.47
"San Francisco County, CA",8th grade or less,5
"San Francisco County, CA",9th through 12th grade with no diploma,6.07
"San Francisco County, CA",High school graduate or GED completed,6.17
"San Francisco County, CA","Some college credit, but not a degree",4.31
"San Francisco County, CA","Bachelor's degree (BA, AB, BS)",2.34
"San Francisco County, CA","Master's degree (MA, MS)",1.41
"San Francisco County, CA","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1.57
"San Francisco County, CA",Unknown/Not on certificate,14.97
"San Joaquin County, CA",8th grade or less,4.74
"San Joaquin County, CA",9th through 12th grade with no diploma,6.45
"San Joaquin County, CA",High school graduate or GED completed,6.05
"San Joaquin County, CA","Some college credit, but not a degree",6.53
"San Joaquin County, CA","Associate degree (AA, AS)",3.7
"San Joaquin County, CA","Bachelor's degree (BA, AB, BS)",3.48
"San Joaquin County, CA","Master's degree (MA, MS)",3.89
"San Joaquin County, CA",Unknown/Not on certificate,20.44
"San Luis Obispo County, CA",High school graduate or GED completed,8.31
"San Mateo County, CA",8th grade or less,3.07
"San Mateo County, CA",9th through 12th grade with no diploma,2.84
"San Mateo County, CA",High school graduate or GED completed,3.09
"San Mateo County, CA","Some college credit, but not a degree",4.2
"San Mateo County, CA","Associate degree (AA, AS)",2.58
"San Mateo County, CA","Bachelor's degree (BA, AB, BS)",2.3
"San Mateo County, CA","Master's degree (MA, MS)",1.28
"San Mateo County, CA","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1.98
"San Mateo County, CA",Unknown/Not on certificate,6.09
"Santa Barbara County, CA",8th grade or less,5.19
"Santa Barbara County, CA",9th through 12th grade with no diploma,4.48
"Santa Barbara County, CA",High school graduate or GED completed,4.37
"Santa Barbara County, CA","Some college credit, but not a degree",4.28
"Santa Barbara County, CA","Associate degree (AA, AS)",4.05
"Santa Barbara County, CA","Bachelor's degree (BA, AB, BS)",2.61
"Santa Barbara County, CA","Master's degree (MA, MS)",3.51
"Santa Barbara County, CA",Unknown/Not on certificate,12.64
"Santa Clara County, CA",8th grade or less,3.96
"Santa Clara County, CA",9th through 12th grade with no diploma,4.63
"Santa Clara County, CA",High school graduate or GED completed,3.57
"Santa Clara County, CA","Some college credit, but not a degree",3.72
"Santa Clara County, CA","Associate degree (AA, AS)",3.42
"Santa Clara County, CA","Bachelor's degree (BA, AB, BS)",2.49
"Santa Clara County, CA","Master's degree (MA, MS)",2.19
"Santa Clara County, CA",Unknown/Not on certificate,7.18
"Santa Cruz County, CA",8th grade or less,4.84
"Santa Cruz County, CA",9th through 12th grade with no diploma,5.06
"Santa Cruz County, CA",High school graduate or GED completed,3.57
"Santa Cruz County, CA","Some college credit, but not a degree",3.1
"Santa Cruz County, CA","Bachelor's degree (BA, AB, BS)",2.96
"Santa Cruz County, CA",Unknown/Not on certificate,15.21
"Solano County, CA",8th grade or less,6.08
"Solano County, CA",9th through 12th grade with no diploma,6.57
"Solano County, CA",High school graduate or GED completed,6.36
"Solano County, CA","Some college credit, but not a degree",5.11
"Solano County, CA","Associate degree (AA, AS)",6.26
"Solano County, CA","Bachelor's degree (BA, AB, BS)",3.98
"Solano County, CA",Unknown/Not on certificate,22.17
"Sonoma County, CA",8th grade or less,4.1
"Sonoma County, CA",9th through 12th grade with no diploma,3.74
"Sonoma County, CA",High school graduate or GED completed,3.09
"Sonoma County, CA","Some college credit, but not a degree",4.96
"Sonoma County, CA","Associate degree (AA, AS)",4.18
"Sonoma County, CA","Bachelor's degree (BA, AB, BS)",3.3
"Sonoma County, CA",Unknown/Not on certificate,5.54
"Stanislaus County, CA",8th grade or less,5.49
"Stanislaus County, CA",9th through 12th grade with no diploma,6.14
"Stanislaus County, CA",High school graduate or GED completed,6.06
"Stanislaus County, CA","Some college credit, but not a degree",4.98
"Stanislaus County, CA","Associate degree (AA, AS)",5.56
"Stanislaus County, CA","Bachelor's degree (BA, AB, BS)",4.82
"Stanislaus County, CA","Master's degree (MA, MS)",6.75
"Stanislaus County, CA",Unknown/Not on certificate,14.14
"Tulare County, CA",8th grade or less,5.49
"Tulare County, CA",9th through 12th grade with no diploma,6.65
"Tulare County, CA",High school graduate or GED completed,5.53
"Tulare County, CA","Some college credit, but not a degree",5.49
"Tulare County, CA","Associate degree (AA, AS)",3.08
"Tulare County, CA","Bachelor's degree (BA, AB, BS)",3.1
"Tulare County, CA",Unknown/Not on certificate,19.91
"Ventura County, CA",8th grade or less,4.67
"Ventura County, CA",9th through 12th grade with no diploma,6.21
"Ventura County, CA",High school graduate or GED completed,5.01
"Ventura County, CA","Some college credit, but not a degree",4.72
"Ventura County, CA","Associate degree (AA, AS)",3.25
"Ventura County, CA","Bachelor's degree (BA, AB, BS)",3.65
"Ventura County, CA","Master's degree (MA, MS)",2.72
"Ventura County, CA",Unknown/Not on certificate,13.04
"Unidentified Counties, CA",8th grade or less,4.89
"Unidentified Counties, CA",9th through 12th grade with no diploma,6.4
"Unidentified Counties, CA",High school graduate or GED completed,4.47
"Unidentified Counties, CA","Some college credit, but not a degree",5.48
"Unidentified Counties, CA","Associate degree (AA, AS)",3.73
"Unidentified Counties, CA","Bachelor's degree (BA, AB, BS)",3.23
"Unidentified Counties, CA","Master's degree (MA, MS)",2.58
"Unidentified Counties, CA","Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4.33
"Unidentified Counties, CA",Unknown/Not on certificate,19.89
"Adams County, CO",8th grade or less,5.97
"Adams County, CO",9th through 12th grade with no diploma,6.48
"Adams County, CO",High school graduate or GED completed,5.8
"Adams County, CO","Some college credit, but not a degree",6.45
"Adams County, CO","Associate degree (AA, AS)",4.55
"Adams County, CO","Bachelor's degree (BA, AB, BS)",4.62
"Adams County, CO",Unknown/Not on certificate,11.26
